user_id,login_attempts,failed_logins,transaction_count,session_duration,access_location,timestamp
96cbbdad-b7f4-4db8-bdb5-b435227d6645,7,2,145,76,RU,2026-04-14 00:03:36.107062
73dd5091-4a89-4f20-8a7a-6cdbffec99fb,14,11,71,57,DE,2026-04-23 15:52:36.107124
5991b537-761b-4959-9f2e-534bef179846,2,1,71,11,UK,2026-05-22 02:13:36.107157
ee242d20-9f2e-41de-9a12-d77c00623a44,2,0,38,52,CA,2026-04-07 16:08:36.107181
fd5a9eeb-9197-483e-bf59-6ab8b705dc10,5,2,95,29,US,2026-03-31 15:17:36.107204
a8d44956-14f2-4818-a9be-683e7f046065,2,0,23,54,RU,2026-05-15 00:17:36.107225
51178277-c097-4c42-8dd8-5bbc3ecac596,10,2,195,41,CN,2026-05-19 11:32:36.107245
fbcaaa59-77bf-4107-b34b-d6581905a098,14,1,73,67,UK,2026-05-01 18:19:36.107263
32345226-1186-448e-9b1d-1e188c26b4c4,4,1,95,28,CA,2026-04-18 20:04:36.107282
6918e5ed-ebdd-4008-a47c-e0f60bd0ecea,8,2,62,83,CA,2026-03-30 07:06:36.107301
c8807cfa-742f-4f6d-8431-e082eb378981,12,11,75,101,CN,2026-04-08 04:21:36.107320
be5fddae-2d05-4ff4-b20f-7b7e741a2386,7,2,90,36,UK,2026-05-17 07:17:36.107340
fcb4273d-6ce1-47a6-b3b1-e805bd66d7f7,7,6,182,29,RU,2026-05-22 13:27:36.107358
3c8913d8-a89c-4f6c-af06-65cf47a51ed4,8,0,151,59,CN,2026-04-04 07:57:36.107377
005169d2-e2c1-48e4-b88c-9070e97c462c,7,4,17,51,UK,2026-03-28 10:57:36.107396
520629fe-b071-43f1-9015-66cca3efce12,8,2,66,92,RU,2026-05-14 07:39:36.107414
6ce8b085-3b50-4b0d-9854-3feffbfd4a62,11,3,108,61,CA,2026-05-14 22:52:36.107432
e76538f9-a103-47fb-bb7f-33071eb0c379,7,2,158,85,DE,2026-05-05 23:02:36.107451
68f464bc-64a2-4ed1-8023-2ca6d8a09f19,4,0,69,11,CA,2026-03-27 11:59:36.107468
d1778510-58ce-4d98-bb02-064cc909a3dc,4,2,183,56,UK,2026-03-18 05:35:36.107487
d0ab0253-7592-4eb9-b0eb-1cdabcdbab27,12,11,4,15,UK,2026-03-24 10:27:36.107504
243ea4c2-cd57-42bb-97b2-11118b1616df,6,4,90,64,CA,2026-04-30 06:32:36.107522
7f9b6979-879b-4ae3-ba16-1fb0947acd23,5,4,54,114,UK,2026-03-24 10:05:36.107540
c3c59249-38e1-443e-ae86-c5c43a38a00d,8,5,97,74,DE,2026-04-15 20:24:36.107558
e43c087d-fde6-41b4-a9d7-029207c9ca7d,4,3,123,69,RU,2026-04-07 18:50:36.107575
3baaf498-7cdf-4b93-bf59-48a17e3e75af,11,1,147,113,CA,2026-03-26 20:33:36.107593
2384f0a5-0549-4dba-8eef-971c99962da7,11,2,12,102,US,2026-04-18 01:44:36.107611
bbcdb387-23f6-45bc-ac20-b40a9e578442,7,5,7,15,CN,2026-05-03 18:11:36.107630
514ef830-521c-4a2b-8c54-4d8f89d07f9f,12,0,69,85,DE,2026-05-09 12:44:36.107647
25a04993-b5b1-4bbc-9f9a-e15043141d4f,7,6,18,24,CN,2026-03-24 11:57:36.107665
c2c14dac-553b-4fa1-b6ce-cef0f9b0a5fd,7,3,177,30,UK,2026-04-10 03:27:36.107682
eccf2682-8d15-4a13-a652-b3a2302982dd,10,9,93,93,DE,2026-05-03 18:15:36.107699
e6636a6f-61cd-4486-b497-5a7c1ba607ed,14,3,148,46,CN,2026-05-16 03:16:36.107717
5a8ca0db-9a61-40a5-be4a-b7dd2e29bc2e,14,2,21,72,UK,2026-05-10 14:30:36.107734
98047558-f16c-4da9-9c97-3ca5e39ca0c6,14,2,158,116,US,2026-05-24 12:32:36.107752
536fecce-00e2-434e-9c81-0d9e128aa399,4,1,180,32,CN,2026-03-20 05:27:36.107769
4f8d2fc6-7bdd-499c-ae36-6e9d68e5dcf9,3,0,19,55,CN,2026-04-23 06:58:36.107786
47e423a1-06f1-4c50-a483-71a3d7c88b5f,9,6,29,86,RU,2026-05-01 22:57:36.107804
47768092-15ea-46ea-b5bc-3b8f049c7373,1,0,113,51,UK,2026-03-25 20:53:36.107821
2c6b74b4-333a-46f8-b164-e2bf1dcb5dae,4,0,14,91,DE,2026-05-17 09:18:36.107839
